Município;Analfabeto;Até 5 Incompleto;5 Completo Fundamental;6 a 9 Fundamental;Fundamental Completo;Médio Incompleto;Médio Completo;Superior Incompleto;Superior Completo;Mestrado;Doutorado;Total
PA-VISEU;7;9;8;773;85;37;231;13;745;0;0;1908
PA-VITORIA DO XINGU;12;49;22;61;137;126;451;7;238;2;0;1105
PA-XINGUARA;127;754;411;1023;869;1730;4177;144;879;117;1;10232
AP-SERRA DO NAVIO;1;2;0;2;93;7;190;10;91;0;0;396
AP-AMAPA;6;39;14;35;31;14;322;2;155;0;0;618
AP-PEDRA BRANCA DO AMAPARI;12;18;16;22;73;63;790;22;257;2;0;1275
AP-CALCOENE;82;43;10;18;120;40;427;13;166;4;0;923
AP-CUTIAS;6;5;4;13;44;11;297;5;92;0;0;477
AP-FERREIRA GOMES;2;3;8;8;48;28;348;9;91;1;0;546
AP-ITAUBAL;1;1;3;2;16;31;144;14;168;0;0;380
AP-LARANJAL DO JARI;61;28;8;62;226;104;1810;40;703;0;2;3044
AP-MACAPA;246;989;549;2118;5383;3429;48839;2889;48360;929;454;114185
AP-MAZAGAO;7;34;11;28;117;83;729;66;454;0;0;1529
AP-OIAPOQUE;5;66;75;206;149;417;1014;75;384;0;13;2404
AP-PORTO GRANDE;10;34;35;71;184;108;1070;69;318;0;0;1899
AP-PRACUUBA;0;12;4;7;19;12;196;10;23;0;0;283
AP-SANTANA;36;163;102;290;589;505;6565;279;1538;23;4;10094
AP-TARTARUGALZINHO;3;26;15;31;95;50;329;11;176;0;1;737
AP-VITORIA DO JARI;1;1;7;11;36;28;606;40;326;1;0;1057
TO-ABREULANDIA;1;8;6;20;14;12;148;10;42;0;0;261
TO-AGUIARNOPOLIS;23;45;31;77;65;95;1235;10;77;0;0;1658
TO-ALIANCA DO TOCANTINS;18;15;15;30;37;35;423;12;121;1;0;707
TO-ALMAS;12;49;79;84;152;73;918;23;157;1;0;1548
TO-ALVORADA;25;51;71;111;85;209;1195;32;169;0;0;1948
TO-ANANAS;7;36;23;37;54;32;543;14;213;0;0;959
TO-ANGICO;2;12;12;17;22;8;100;5;76;0;0;254
TO-APARECIDA DO RIO NEGRO;5;14;13;40;63;31;513;21;112;0;0;812
TO-ARAGOMINAS;10;23;9;20;23;18;182;3;95;0;0;383
TO-ARAGUACEMA;6;15;19;23;52;25;491;7;85;0;0;723
TO-ARAGUACU;13;70;56;248;81;89;705;21;159;0;0;1442
TO-ARAGUAINA;89;616;354;1242;1740;2449;27112;1335;6279;131;49;41396
TO-ARAGUANA;10;26;27;45;60;28;261;4;66;1;0;528
TO-ARAGUATINS;18;63;50;51;560;121;1689;96;667;2;0;3317
TO-ARAPOEMA;10;108;43;87;43;82;316;13;123;0;0;825
TO-ARRAIAS;5;41;31;27;109;50;570;30;350;0;0;1213
TO-AUGUSTINOPOLIS;4;86;43;56;73;59;1451;44;387;1;1;2205
TO-AURORA DO TOCANTINS;1;1;3;11;26;5;108;2;38;0;0;195
TO-AXIXA DO TOCANTINS;10;132;22;8;17;8;477;13;324;0;0;1011
TO-BABACULANDIA;19;55;26;81;100;234;459;9;141;0;0;1124
TO-BANDEIRANTES DO TOCANTINS;17;69;29;67;54;66;423;10;99;0;0;834
TO-BARRA DO OURO;3;15;9;21;26;16;203;1;63;1;0;358
TO-BARROLANDIA;4;32;16;29;29;23;293;8;77;1;0;512
TO-BERNARDO SAYAO;5;34;18;32;36;34;211;10;68;0;0;448
TO-BOM JESUS DO TOCANTINS;1;8;7;15;25;35;203;6;50;0;0;350
TO-BRASILANDIA DO TOCANTINS;4;42;13;13;26;25;162;1;67;0;0;353
TO-BREJINHO DE NAZARE;4;21;22;24;38;37;436;4;105;0;0;691
TO-BURITI DO TOCANTINS;0;10;20;13;34;14;391;2;114;0;0;598
TO-CACHOEIRINHA;3;2;7;12;26;4;113;2;69;0;1;239
TO-CAMPOS LINDOS;7;38;27;116;116;88;581;19;65;0;0;1057
TO-CARIRI DO TOCANTINS;12;36;11;61;107;79;710;25;148;0;0;1189
