,Codigo,Nome,Nivel,Governança Colaborativa - Responsáveis,Incorporação de TICs - Planejamento,Planejamento Estratégico para Transformação Digital,Governança de TI - Práticas,Infraestrutura de Hw e Sw - Armazenamento,Gestão Integrada de Dados,Serviços Públicos On-line,Solicitação de Serviços Públicos,Segurança de Políticas Públicas - Monitoramento,Percepção dos Serviços Públicos,Transparência - Monitoramento,Transparência - Execução Orçamentária e Financeira,Transparência dos Dados - Disponibilização,Segurança dos Dados - Práticas
Valor,5003702,Dourados,3,,,,,,,13,8,,0,,5,10,
Valor,4107306,Doutor Camargo,3,,,,,,,13,5,,1,,5,9,
Valor,4306734,Doutor Maurício Cardoso,2,,,,,,,14,5,,0,,5,9,
Valor,4205159,Doutor Pedrinho,2,,,,,,,9,5,,0,,5,9,
Valor,4306759,Doutor Ricardo,2,,,,,,,7,4,,0,,5,9,
Valor,2403202,Doutor Severiano,2,,,,,,,10,3,,0,,5,10,
Valor,4128633,Doutor Ulysses,2,,,,,,,6,5,,0,,4,9,
Valor,5207253,Doverlândia,2,,,,,,,10,4,,0,,5,8,
Valor,3514403,Dracena,2,,,,,,,9,4,,0,,5,8,
Valor,3514502,Duartina,2,,,,,,,11,1,,0,,5,8,
Valor,3301603,Duas Barras,2,,,,,,,8,5,,0,,4,8,
Valor,2505808,Duas Estradas,2,,,,,,,8,5,,0,,5,8,
Valor,1707306,Dueré,2,,,,,,,6,4,,0,,5,10,
Valor,3514601,Dumont,2,,,,,,,10,5,,0,,5,9,
Valor,2103901,Duque Bacelar,2,,,,,,,4,5,,0,,5,7,
Valor,3301702,Duque de Caxias,3,,,,,,,17,8,,1,,5,9,
Valor,3123528,Durandé,2,,,,,,,0,5,,0,,5,8,
Valor,3514700,Echaporã,2,,,,,,,2,1,,0,,5,9,
Valor,3202108,Ecoporanga,2,,,,,,,11,4,,0,,5,9,
Valor,5207352,Edealina,2,,,,,,,11,5,,0,,5,9,
Valor,5207402,Edéia,2,,,,,,,8,5,,0,,5,9,
Valor,1301407,Eirunepé,2,,,,,,,2,4,,0,,4,8,
Valor,5003751,Eldorado,2,,,,,,,6,5,,0,,5,8,
Valor,3514809,Eldorado,3,,,,,,,13,3,,1,,4,10,
Valor,1502954,Eldorado do Carajás,2,,,,,,,1,5,,0,,5,9,
Valor,4306767,Eldorado do Sul,2,,,,,,,15,6,,0,,5,9,
Valor,2203503,Elesbão Veloso,2,,,,,,,7,2,,0,,5,9,
Valor,3514908,Elias Fausto,2,,,,,,,13,6,,0,,5,9,
Valor,2203602,Eliseu Martins,2,,,,,,,5,3,,0,,5,8,
Valor,3514924,Elisiário,2,,,,,,,4,6,,0,,4,9,
Valor,2910305,Elísio Medrado,2,,,,,,,0,5,,0,,5,8,
Valor,3123601,Elói Mendes,2,,,,,,,7,4,,0,,5,9,
Valor,2505907,Emas,2,,,,,,,3,5,,0,,5,8,
